datetime,508-co2,508-damper,508-occupant,604-co2,604-damper,604-occupant,511-co2,511-damper,511-occupant,601-co2,601-damper,601-occupant
2017-03-21 00:00:00,15.800000000000011,0.0,1.0,14.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:01:00,15.800000000000011,0.0,1.0,10.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:02:00,15.800000000000011,0.0,1.0,10.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:03:00,15.800000000000011,0.0,1.0,10.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:04:00,16.75999999999999,0.0,1.0,10.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:05:00,16.75999999999999,0.0,1.0,10.0,0.0,2.0,0,0.0,1.0,18.0,0.0,0.0
2017-03-21 00:06:00,16.75999999999999,0.0,1.0,16.0,0.0,2.0,0,0.0,1.0,18.0,0.0,0.0
2017-03-21 00:07:00,16.75999999999999,0.0,1.0,16.0,0.0,2.0,0,0.0,1.0,18.0,0.0,0.0
2017-03-21 00:08:00,16.75999999999999,0.0,1.0,16.0,0.0,2.0,0,0.0,1.0,18.0,0.0,0.0
2017-03-21 00:09:00,11.0,0.0,1.0,16.0,0.0,2.0,0,0.0,1.0,18.0,0.0,0.0
2017-03-21 00:10:00,11.0,0.0,1.0,16.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:11:00,11.0,0.0,1.0,18.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:12:00,11.0,0.0,1.0,18.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:13:00,11.0,0.0,1.0,18.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:14:00,9.720000000000027,0.0,1.0,18.0,0.0,2.0,0,0.0,1.0,28.0,0.0,0.0
2017-03-21 00:15:00,9.720000000000027,0.0,1.0,18.0,0.0,2.0,0,0.0,1.0,36.0,0.0,0.0
