CO2,Damper,Occupant
2.801451749,0,1
2.190556259,0,2
6.530067201,0,1
5.247182343,0,0
2.801451749,0,1
2.190556259,0,2
6.530067201,0,1
5.247182343,0,0
2.701784715,0,1
2.190556259,0,2
6.530067201,0,1
5.247182343,0,0
2.701784715,0,1
2.190556259,0,2
6.530067201,0,1
5.247182343,0,0
2.701784715,0,1
2.171170806,0,2
6.497978419,0,1
5.19599032,0,0
2.701784715,0,1
2.171170806,0,2
6.497978419,0,1
5.19599032,0,0
2.701784715,0,1
2.171170806,0,2
6.497978419,0,1
5.19599032,0,0
2.701784715,0,1
2.171170806,0,2
6.497978419,0,1
5.19599032,0,0
2.701784715,0,1
2.171170806,0,2
6.481934028,0,1
5.19599032,0,0
2.701784715,0,1
2.177632624,0,2
6.481934028,0,1
5.183192314,0,0
2.701784715,0,1
2.177632624,0,2
6.481934028,0,1
5.183192314,0,0
2.701784715,0,1
2.177632624,0,2
6.481934028,0,1
5.183192314,0,0
2.793370638,0,1
2.177632624,0,2
6.481934028,0,1
5.183192314,0,0
2.793370638,0,1
2.177632624,0,2
6.396363942,0,1
5.183192314,0,0
2.793370638,0,1
2.209941713,0,2
6.396363942,0,1
5.19599032,0,0
2.793370638,0,1
2.209941713,0,2
6.396363942,0,1
5.19599032,0,0
2.793370638,0,1
2.209941713,0,2
6.396363942,0,1
5.19599032,0,0
2.793370638,0,1
2.209941713,0,2
6.396363942,0,1
5.19599032,0,0
2.793370638,0,1
2.209941713,0,2
6.717251765,0,1
5.19599032,0,0
2.793370638,0,1
2.171170806,0,2
6.717251765,0,1
5.01681824,0,0
2.793370638,0,1
2.171170806,0,2
6.717251765,0,1
5.01681824,0,0
2.793370638,0,1
2.171170806,0,2
6.717251765,0,1
5.01681824,0,0
2.751618232,0,1
2.171170806,0,2
6.717251765,0,1
5.01681824,0,0
2.751618232,0,1
2.171170806,0,2
6.685162983,0,1
5.01681824,0,0
2.751618232,0,1
2.222865349,0,2
6.685162983,0,1
5.170394308,0,0
2.751618232,0,1
2.222865349,0,2
6.685162983,0,1
5.170394308,0,0
2.751618232,0,1
2.222865349,0,2
6.685162983,0,1
5.170394308,0,0
2.73545601,0,1
2.222865349,0,2
6.685162983,0,1
5.170394308,0,0
2.73545601,0,1
2.222865349,0,2
6.701207374,0,1
5.170394308,0,0
2.73545601,0,1
2.222865349,0,2
6.701207374,0,1
5.144798297,0,0
2.73545601,0,1
2.222865349,0,2
6.701207374,0,1
5.144798297,0,0
2.73545601,0,1
2.222865349,0,2
6.701207374,0,1
5.144798297,0,0
2.777208416,0,1
2.222865349,0,2
6.701207374,0,1
5.144798297,0,0
2.777208416,0,1
2.222865349,0,2
6.615637288,0,1
5.144798297,0,0
2.777208416,0,1
2.171170806,0,2
6.615637288,0,1
5.119202286,0,0
2.777208416,0,1
2.171170806,0,2
6.615637288,0,1
5.119202286,0,0
2.777208416,0,1
2.171170806,0,2
6.615637288,0,1
5.119202286,0,0
2.751618232,0,1
2.171170806,0,2
6.615637288,0,1
5.119202286,0,0
2.751618232,0,1
2.171170806,0,2
6.685162983,0,1
5.119202286,0,0
