Outside,Outside,Outside,,,,,,,,,,,,,,,,,,,,,,
321,1,Unknown(Private Office),,Outside,360,,319,323,,,,,,,,,,,,,,,,
323,1,Unknown(Private Office),,Outside,360,,321,327,,,,,,,,,,,,,,,,
327,1,Unknown(Private Office),,Outside,360,,323,329,,,,,,,,,,,,,,,,
329,1,Unknown(Private Office),,Outside,360,,327,333,,,,,,,,,,,,,,,,
408,1,Unknown(Open Area),,Outside,466,421,418,,406,,,,,,,,,,,,,,,
ST2,1,Unknown(Elevator/Stair),,418,,421,427,,,,,,,,,,,,,,,,,
427,1,Unknown(Private Office),,Outside,418,,ST2,429,,,,,,,,,,,,,,,,
429,1,Unknown(Private Office),,Outside,418,,427,431,,,,,,,,,,,,,,,,
431,1,Unknown(Private Office),,Outside,418,,429,433,,,,,,,,,,,,,,,,
433,1,Unknown(Private Office),,Outside,418,,431,,,,,,,,,,,,,,,,,
418,1,Unknown(Open Area),,433,431,429,427,ST2,408,,,,,,,,,,,,,,,
437,2,Unknown(Private Office),,Outside,226,,433,,,,,,,,,,,,,,,,,
433,2,Unknown(Private Office),,Outside,226,,437,433,,,,,,,,,,,,,,,,
429,2,Unknown(Private Office),,Outside,418,,433,ST2,,,,,,,,,,,,,,,,
ST2,2,Unknown(Elevator/Stair),,418,,429,423,,,,,,,,,,,,,,,,,
423,2,Unknown(Private Office),,Outside,418,,ST2,419,,,,,,,,,,,,,,,,
419,2,Unknown(Private Office),,Outside,423,,421,422,,,,,,,,,,,,,,,,
421,2,Unknown(Entrance),,Outside,422,,419,,,,,,,,,,,,,,,,,
226,2,Unknown(Open Area),,Outside,437,433,,,,,,,,,,,,,,,,,,
418,2,Unknown(Open Area),,Outside,429,ST2,423,419,417,413,406,226,422,,,,,,,,,,,
417,2,Unknown(Private Office),,418,,422,413,,,,,,,,,,,,,,,,,
413,2,Unknown(Private Office),,418,,422,417,411,,,,,,,,,,,,,,,,
406,2,Unknown(Open Area),,Outside,418,402,411,,,,,,,,,,,,,,,,,
411,2,Unknown(Private Office),,406,,407,422,,,,,,,,,,,,,,,,,
407,2,Unknown(Private Office),,402,,411,401,422,,,,,,,,,,,,,,,,
422,2,Unknown(Corridor),,Outside,004,421,418,,419,417,413,411,407,401,337,,,,,,,,,
402,2,Unknown(Open Area),,Outside,406,407,333,,401,,,,,,,,,,,,,,,
401,2,Unknown(Private Office),,333,,402,337,,,,,,,,,,,,,,,,,
